Sample_Number,Firmicutes,Actinobacteria,Bacteroidetes,Chlamydiae,Proteobacteria,k_Bacteria,Cyanobacteria,Chloroflexi,Gemmatimonadetes,Aquificae,Acidobacteria,Thermotogae,Deinococcus,Synergistetes,Planctomycetes,Fibrobacteres,Tenericutes,Spirochaetes,Verrucomicrobia,Nitrospirae,Fusobacteria,Thermodesulfobacteria,Armatimonadetes,Ignavibacteriae,Chlorobi,Caldiserica,Lentisphaerae,Candidatus_Cloacimonetes,Chrysiogenetes,Deferribacteres,Elusimicrobia,Rhodothermaeota,Nitrospinae,Dictyoglomi,Primary_Site
s15551,47822,30263,5259,679,82280,2,244,37,17,4,49,18,57,5,1038,0,1143,715,46,11,34,12,1,1,2,0,0,0,1,3,1,1,3,3,Larynx
s15554,45959,43799,7456,898,170080,0,314,8,4,3,15,17,200,4,1558,0,1513,1197,119,260,888,19,4,6,1,0,0,0,0,1,0,1,5,0,Larynx
s15560,77617,64159,7497,923,178429,0,684,11,0,1,8,20,290,0,1936,1,1075,684,184,47,20,10,0,0,0,0,0,0,0,1,0,0,8,0,Larynx
s15568,23141,16161,6947,789,98383,0,312,1,0,0,3,5,44,2,951,2,857,565,7,42,1733,5,0,0,0,0,0,0,0,0,0,0,7,0,Larynx
s15575,257703,130242,8351,18002,98223,0,1490,30,0,6,24,92,193,0,3325,0,3584,1861,106,2,255,60,0,0,1,0,0,0,0,1,0,0,0,0,Larynx
s15579,32013,19861,12132,1380,59124,0,405,3,0,0,5,24,21,1,1056,0,1069,2083,1,17,27,8,0,0,0,0,0,0,0,0,0,0,2,0,Larynx
s15584,47764,47254,11858,2901,136341,0,876,25,1,2,7,42,500,4,3630,0,2365,1429,190,229,794,28,2,0,1,0,0,0,0,1,0,0,7,0,Larynx
s15592,30725,24219,8986,1441,58617,0,502,11,0,1,4,26,94,4,1250,0,1432,16384,17,90,59,11,1,0,0,0,0,0,0,0,0,0,3,0,Larynx
s15595,81554,52246,5972,1156,184553,0,393,9,1,0,12,13,258,0,1359,0,1384,1425,70,257,333,13,1,4,0,0,0,0,0,0,0,0,6,0,Larynx
s15598,45311,34809,7647,1644,1014251,0,667,18,1,6,7,30,242,1,2050,0,1752,1241,124,0,23,21,0,0,0,0,0,0,0,0,0,0,5,0,Larynx
s15600,88836,58955,10636,1093,263864,0,343,13,1,1,6,21,389,718,2020,2,988,15836,249,61,1410,8,0,0,1,0,0,1,0,26,1,0,6,0,Larynx
s15609,85756,45443,7032,1128,138769,0,311,8,0,1,8,13,194,4,1185,0,956,500,42,199,30,7,0,0,0,0,0,0,0,1,1,0,6,0,Larynx
s15612,538159,173819,17096,34732,156177,2,2781,58,7,8,24,270,65,3,6161,0,9790,4620,101,14,260,149,1,0,5,0,0,0,0,2,1,0,0,1,Larynx
s15615,5799086,3156238,190165,487909,2351152,5,38236,1727,40,72,1404,759,835,6,26001,0,20484,16203,4461,58,1232,492,8,2,49,2,0,1,23,86,13,1,11,1,Larynx
s15618,38618,40648,11016,1391,188004,0,421,14,1,1,6,24,196,4,1958,0,1601,860,251,130,114,22,33,0,5,0,0,0,1,1,1,0,5,0,Larynx
s15624,84511,24199,13892,2798,57516,0,4790,52,9,15,58,53,133,12,1918,0,1967,1112,4,73,50,22,6,1,5,0,1,1,0,2,3,1,3,1,Larynx
s15628,32261,17030,7823,1054,61244,0,308,9,1,0,3,11,31,0,1105,0,1061,621,10,57,17,13,1,0,0,0,0,0,0,0,0,0,6,0,Larynx
s15655,519584,299337,19748,29237,182348,0,2055,41,5,14,30,130,130,1,3654,0,4922,2731,123,6,106,108,0,0,2,1,0,0,0,3,1,0,0,0,Larynx
s15660,4910727,2621067,222883,420535,2337712,8,35640,1505,59,59,1445,456,747,18,19675,2,18183,14833,4873,69,1040,271,3,0,83,1,0,0,23,88,21,0,6,2,Larynx
s15663,452463,278782,13263,35184,156687,2,2411,49,2,7,36,102,48,1,3090,0,4709,2218,283,0,60,47,0,0,1,0,0,0,0,1,0,0,0,1,Larynx
s15668,36196,29518,9659,1664,80781,0,446,5,1,1,8,14,48,3,1725,0,1582,1062,19,1,45,18,0,0,0,0,0,0,0,0,0,0,6,0,Larynx
s15671,29323,36074,10619,2649,61643,0,455,11,1,0,5,37,207,0,2034,1,1788,996,70,107,740,21,0,0,0,0,0,0,0,0,0,0,4,1,Larynx
s15674,33339,15399,8042,1337,53428,0,366,8,0,0,6,17,31,0,1060,0,1014,526,8,100,21,14,0,0,0,1,0,0,0,0,0,0,3,0,Larynx
s15676,4531172,2304692,180323,356551,1756798,2,41605,583,20,113,680,442,322,7,20014,0,21552,11494,4510,30,604,314,0,0,56,0,0,0,11,36,6,0,3,0,Larynx
s15677,17868,22292,9273,1505,30975,0,489,12,2,0,12,8,57,0,780,1,1117,1284,7,30,19,16,0,0,0,0,0,0,0,0,0,0,1,0,Larynx
